22:48:49.231 ->    340,   -56, 18292,27.21,  -765,   160,  -200
22:48:49.264 ->    448,  -112, 18340,27.17,  -768,   193,  -179
22:48:49.330 ->    452,  -116, 18232,27.12,  -770,   189,  -203
22:48:49.397 ->    460,  -124, 18272,27.17,  -763,   168,  -191
22:48:49.430 ->    424,  -132, 18380,27.21,  -771,   172,  -205
22:48:49.496 ->    396,  -176, 18176,27.21,  -776,   163,  -189
22:48:49.529 ->    380,   -64, 18240,27.26,  -755,   176,  -202
22:48:49.595 ->    420,  -148, 18292,27.21,  -762,   145,  -199
22:48:49.629 ->    372,   -64, 18256,27.26,  -769,   162,  -211
22:48:49.695 ->    336,  -200, 18264,27.21,  -756,   166,  -201
22:48:49.728 ->    316,  -100, 18256,27.17,  -760,   162,  -221
22:48:49.794 ->    348,  -220, 18300,27.31,  -765,   173,  -214
22:48:49.827 ->    480,   -52, 18260,27.26,  -755,   162,  -209
22:48:49.894 ->    312,  -160, 18224,27.21,  -781,   163,  -194
22:48:49.927 ->    384,   -72, 18336,27.17,  -772,   156,  -195
22:48:49.993 ->    244,    -8, 18048,27.21,  -754,   183,  -220
22:48:50.059 ->    404,  -140, 18316,27.26,  -751,   191,  -190
22:48:50.092 ->    392,  -184, 18184,27.21,  -760,   167,  -209
22:48:50.159 ->    440,  -160, 18240,27.26,  -760,   157,  -193
22:48:50.192 ->    440,   -80, 18220,27.21,  -761,   145,  -189
22:48:50.258 ->    440,  -132, 18264,27.35,  -762,   159,  -194
22:48:50.291 ->    432,  -148, 18184,27.21,  -772,   171,  -190
22:48:50.357 ->    312,  -136, 18228,27.26,  -764,   161,  -204
22:48:50.391 ->    456,  -152, 18216,27.31,  -750,   157,  -206
22:48:50.457 ->    296,   -76, 18264,27.26,  -757,   155,  -207
22:48:50.490 ->    396,  -176, 18204,27.21,  -767,   147,  -217
22:48:50.556 ->    368,  -120, 18188,27.26,  -751,   169,  -200
22:48:50.623 ->    368,  -192, 18200,27.21,  -771,   161,  -212
22:48:50.656 ->    316,  -152, 18228,27.26,  -747,   176,  -190
22:48:50.689 ->    464,   -60, 18264,27.21,  -754,   160,  -188
22:48:50.755 ->    400,  -140, 18292,27.26,  -778,   144,  -208
22:48:50.822 ->    460,  -148, 18100,27.31,  -778,   173,  -204
22:48:50.855 ->    336,  -136, 18164,27.35,  -765,   159,  -191
22:48:50.921 ->    -36,   -20, 17008,27.31,  -731,    19,  -199
22:48:50.954 ->    528,   -80, 17956,27.26,  -773,   207,  -183
22:48:51.021 ->    528,   -56, 18236,27.31,  -770,   148,  -200
22:48:51.054 ->    340,  -216, 18144,27.26,  -757,   173,  -205
22:48:51.120 ->    360,   -40, 18272,27.21,  -773,   164,  -211
22:48:51.153 ->    292,  -128, 18148,27.26,  -776,   169,  -206
22:48:51.220 ->    364,  -160, 18300,27.21,  -745,   179,  -200
22:48:51.253 ->    432,  -132, 18196,27.26,  -777,   154,  -217
22:48:51.319 ->    448,   -88, 18268,27.21,  -748,   159,  -221
22:48:51.352 ->    352,  -180, 18368,27.26,  -760,   164,  -194
22:48:51.419 ->    336,   -52, 18164,27.35,  -759,   160,  -183
22:48:51.485 ->    488,  -124, 18144,27.26,  -762,   191,  -199
22:48:51.518 ->    344,  -144, 18264,27.21,  -771,   163,  -221
22:48:51.585 ->    424,   -48, 18204,27.26,  -767,   150,  -203
22:48:51.618 ->    408,  -116, 18336,27.40,  -774,   173,  -217
22:48:51.684 ->    420,  -184, 18276,27.31,  -752,   170,  -190
22:48:51.717 ->    380,  -136, 18148,27.26,  -764,   164,  -210
22:48:51.784 ->    364,  -228, 18216,27.31,  -764,   180,  -194
22:48:51.817 ->    416,   -72, 18292,27.35,  -747,   172,  -194
22:48:51.883 ->    472,   -76, 18144,27.31,  -762,   151,  -206
22:48:51.916 ->    416,  -192, 18112,27.26,  -776,   143,  -205
22:48:51.983 ->    348,  -124, 18320,27.31,  -749,   164,  -207
22:48:52.016 ->    392,  -184, 18160,27.35,  -765,   163,  -197
22:48:52.082 ->    388,  -108, 18196,27.31,  -774,   167,  -204
22:48:52.149 ->    432,  -116, 18148,27.26,  -771,   155,  -206
22:48:52.182 ->    376,  -184, 18160,27.40,  -764,   169,  -190
22:48:52.248 ->    276,  -152, 18212,27.26,  -771,   159,  -191
22:48:52.281 ->    388,   -96, 18188,27.21,  -765,   154,  -194
22:48:52.347 ->    280,  -216, 18204,27.35,  -755,   131,  -210
22:48:52.381 ->    384,  -108, 18104,27.31,  -769,   170,  -205
22:48:52.447 ->    392,  -156, 18252,27.35,  -770,   176,  -211
22:48:52.480 ->    400,  -116, 18248,27.31,  -760,   189,  -208
22:48:52.546 ->    372,  -140, 18240,27.26,  -769,   162,  -217
22:48:52.580 ->    320,   -92, 18452,27.26,  -758,   166,  -191
22:48:52.646 ->    344,   -92, 18144,27.17,  -774,   170,  -183
22:48:52.679 ->    384,  -132, 18180,27.26,  -761,   170,  -210
22:48:52.746 ->    304,  -120, 18296,27.40,  -754,   159,  -198
22:48:52.812 ->    432,  -120, 18116,27.35,  -760,   134,  -197
22:48:52.845 ->    460,  -104, 18376,27.31,  -763,   161,  -186
22:48:52.911 ->    444,   -92, 18408,27.35,  -756,   158,  -199
22:48:52.945 ->    380,  -156, 18032,27.31,  -763,   159,  -213
22:48:53.011 ->    320,  -176, 18208,27.26,  -769,   153,  -201
22:48:53.044 ->    368,  -228, 18240,27.31,  -768,   172,  -207
22:48:53.110 ->    304,  -228, 18344,27.35,  -767,   156,  -204
22:48:53.143 ->    432,  -216, 18256,27.31,  -764,   149,  -198
22:48:53.210 ->    452,   -80, 18296,27.35,  -771,   142,  -191
22:48:53.243 ->    504,   -76, 17884,27.31,  -717,   128,  -193
22:48:53.309 ->    352,  -244, 18128,27.26,  -756,    83,  -189
22:48:53.342 ->    336,  -136, 18304,27.40,  -754,   174,  -218
